Extension,File Count,Total Size
.py,37,78.19KB
no extension,15,19.85KB
.log,1,3.23KB
.csv,4,927 Bytes
.txt,4,1.08KB
.md,1,30.73KB
.json,2,590 Bytes

Filename,Last Modified,Age (days)
encapsulation practice.py,2026-05-29,39
Payment_processor_system.py,2026-06-03,33
Study_tracker.py,2026-06-06,30
Areas_using_inheritance,2026-05-30,37
phone_object_practice.py,2026-05-21,46
crypto_tracker.py,2026-05-21,46
Arithmetic_Drill_Trainer_CLI v2,2026-05-21,46
Solving quadratic equation,2026-05-21,46
Book_manager.py,2026-05-25,43
pop_module.py,2026-05-21,46
sizing using polymorphism,2026-05-31,37
student_performance_analyzer_cli.py,2026-05-21,46
Personal_profile_card_generator,2026-05-21,46
using_enumerate.py,2026-05-21,46
Employee_information,2026-05-24,44
Private_methods_practice(service_charge),2026-05-29,39
Student_course_manager.py,2026-05-21,46
weather.py,2026-05-21,46
prices.csv,2026-05-21,46
contact_book_cli.py,2026-05-21,46
Money.py,2026-06-01,35
Personal_finance_tracker_cli.py,2026-05-21,46
testing_2.py,2026-06-01,35
Bank_account_system,2026-05-30,37
Unit_converter_CLI,2026-05-21,46
identifying_palindrome.py,2026-05-21,46
vehicle_system,2026-05-30,37
Calculator CLI,2026-05-21,46
crypto_tracker_v2.py,2026-05-21,46
string_tools_with_static_methods.py,2026-06-05,32
testing.py,2026-06-01,35
list_comprehension.py,2026-05-21,46
loan_evaluator,2026-05-21,46
Arithmetic_Drill_Trainer_CLI,2026-05-21,46
Shopping_cart,2026-05-21,46
crypto_prices.csv,2026-05-21,46
CLI_Arithmetic_drill_trainer.py,2026-05-21,46
Temperature_calculation_using_magic_methods.py,2026-06-01,35
tuple_unpacking,2026-05-29,38

Filename,Size,Paths
